time,0,1,2,3,4,5,6
0.0,29.171410000000037,31.58643000000001,33.097579999999994,37.211770000000065,30.881870000000053,31.78037999999998,37.02118999999999
3637.0,27.581350000000047,28.84872999999999,29.99779000000001,32.58609000000001,28.284390000000034,28.51578000000001,32.58707000000004
7273.0,23.97336000000001,24.912270000000035,25.14329000000004,25.487380000000034,24.197990000000004,24.826460000000054,25.250820000000033
10909.0,22.027500000000032,23.147789999999986,23.224450000000054,23.370960000000025,22.236980000000013,23.00015000000002,23.12813
14255.0,20.783970000000068,22.165880000000016,22.24260000000004,22.34363000000002,21.44795000000005,22.01811000000004,21.95412000000005
18037.0,18.645489999999995,20.434920000000037,20.48293000000001,20.769600000000025,19.84294,19.985389999999995,19.94386000000003
21673.0,19.123530000000017,20.75601000000006,20.875110000000006,21.044990000000038,19.986550000000022,20.6968,20.55555000000004
25309.0,18.347870000000054,19.902289999999994,19.892210000000034,20.028129999999976,19.080160000000035,19.72624000000002,19.40336000000002
28946.0,17.303390000000036,19.05871000000002,19.01435000000004,19.147229999999983,18.451750000000004,18.75601000000006,18.64087999999998
32437.0,15.831450000000016,17.841720000000066,17.80968999999999,17.917340000000024,16.984340000000028,17.436900000000037,17.177620000000047
36073.0,14.697950000000048,16.835440000000006,16.84339,17.38303000000002,16.136470000000028,16.413260000000037,16.22224
39709.0,15.072240000000024,17.23317000000003,17.18013000000002,17.786310000000018,16.085450000000037,16.886020000000027,16.735550000000046
43346.0,14.268880000000026,16.364400000000046,16.340460000000007,16.500170000000026,15.288020000000017,15.967590000000028,15.704040000000019
46400.0,14.137390000000039,16.223839999999996,16.15397999999999,16.522040000000004,15.070850000000007,15.907810000000039,15.650149999999995
50473.0,13.509150000000036,15.633520000000033,15.570580000000007,15.674739999999984,14.470290000000036,15.32722000000007,15.063289999999995
54109.0,15.462649999999995,16.272370000000027,16.32842000000005,16.676300000000026,15.998420000000069,16.382389999999987,16.246730000000017
57600.0,20.017210000000034,21.58389,22.28654,24.48722000000004,20.75647000000004,21.580120000000022,24.461400000000022
61237.0,22.080730000000013,23.86755000000005,24.831000000000014,27.546280000000024,22.72667999999999,24.128480000000025,27.660310000000038
64873.0,24.09168,26.693770000000033,28.07704000000001,32.439820000000054,24.80510000000004,26.592470000000052,31.918589999999995
68364.0,25.674340000000033,28.68834000000004,30.390490000000003,34.773510000000044,26.995580000000015,29.19614000000001,35.26314000000002
71855.0,27.35122999999999,31.28823,33.12981000000002,38.267600000000016,28.77217999999999,30.845320000000008,38.11419000000001
72727.0,27.288479999999996,30.04669000000001,31.288839999999997,48.11628999999999,28.873040000000003,30.233820000000037,47.65506000000005
75782.0,28.764279999999985,32.10277000000002,34.05239,39.43232000000006,30.319410000000005,32.509550000000054,40.49168000000003
79273.0,29.435420000000025,32.68710000000005,34.19257000000005,38.128570000000025,30.85787000000005,32.16330000000005,37.923190000000034
82764.0,29.984410000000025,32.272730000000024,33.31442000000004,36.528370000000045,30.666410000000038,32.236120000000035,36.80777999999997
86546.0,29.44039000000004,31.283350000000038,32.361120000000035,34.72802999999999,30.02350000000001,31.353020000000008,34.604520000000036
90037.0,27.645520000000033,29.073300000000014,29.36375000000004,30.039300000000022,28.10145,28.767620000000022,29.794860000000032
93673.0,23.29473000000001,25.205310000000054,25.35232000000002,25.639420000000033,24.166690000000013,25.036070000000052,24.88418000000001
97309.0,21.723749999999995,23.93260000000004,24.092140000000033,24.231870000000008,22.954690000000035,23.825710000000008,23.54366000000005
100800.0,19.61315000000002,22.178440000000023,22.184079999999994,22.63574,20.73684000000003,21.893500000000014,21.468020000000024
104437.0,18.17703,20.77855,20.798550000000034,21.041879999999992,19.702410000000047,20.25653,20.215039999999988
107927.0,17.50424000000004,20.220870000000048,20.170250000000014,20.736510000000013,19.36316000000005,19.771160000000013,19.458740000000034
111709.0,16.770320000000027,19.58638000000002,19.521940000000033,19.72321000000005,18.70631000000003,19.01260000000002,18.937389999999994
115346.0,15.710390000000016,18.468290000000025,18.446030000000007,18.657230000000027,17.117279999999994,18.11174,17.754340000000013
118982.0,14.93581000000006,17.932630000000017,17.93040000000002,18.175960000000032,16.580190000000016,17.635130000000004,17.236620000000016
122473.0,14.593450000000017,17.356810000000053,17.274130000000017,17.575550000000018,15.917880000000027,16.95542000000006,16.624480000000005
126109.0,14.021490000000027,16.705100000000016,16.697020000000066,16.89783,15.684700000000019,16.25024000000002,16.049450000000036
129309.0,13.391600000000038,16.207050000000038,16.142860000000038,16.340540000000033,15.361800000000017,15.60924,15.520790000000035
131782.0,12.877320000000054,15.800380000000017,15.703520000000026,15.87657999999999,14.86685,15.236530000000016,15.050450000000012
134255.0,12.646670000000027,15.394389999999989,15.3562,15.572540000000005,13.988890000000026,15.053580000000009,14.711090000000011
134982.0,12.537350000000005,15.333490000000038,15.317780000000026,16.063829999999996,14.56067999999999,14.828239999999996,14.888340000000026
137891.0,11.529120000000036,14.631779999999992,14.552790000000016,14.828829999999984,13.156350000000034,14.221560000000009,13.838290000000026
140655.0,13.66327000000007,15.487439999999992,15.458770000000017,15.728430000000005,14.69921000000005,15.349060000000007,15.0077
144000.0,16.69177000000002,18.79366000000005,19.048960000000022,19.80836000000005,17.910570000000067,18.804910000000007,19.68449000000004
147200.0,19.42746000000005,21.86001000000005,22.693420000000057,24.988320000000048,20.52031000000005,21.823510000000052,24.977460000000008
148946.0,20.583520000000018,22.829049999999995,23.719190000000022,26.488170000000025,21.61151000000001,22.947000000000006,26.218510000000038
149818.0,20.5702,22.86743000000001,23.565290000000005,31.09798000000001,21.68477999999999,22.787260000000057,30.71109000000001
151127.0,22.407900000000037,25.037430000000032,26.140470000000054,29.754820000000052,23.25155000000001,25.878500000000034,29.16460000000001
152437.0,24.087850000000003,26.791029999999978,28.392810000000054,32.643170000000055,25.442979999999977,26.87198000000001,32.770500000000034
154764.0,25.820420000000073,28.894270000000066,30.73151000000001,35.257029999999986,27.175300000000053,28.473779999999977,34.8698
158400.0,27.522030000000033,31.215610000000034,32.95783,38.72957000000002,29.282900000000037,31.261460000000053,39.373770000000036
162037.0,29.190820000000034,33.143670000000036,34.76926000000003,40.18894,30.94596000000001,33.309529999999995,40.468270000000025
165818.0,30.297439999999995,33.64825000000002,35.20218,39.553500000000035,31.95982000000004,33.639350000000036,39.835950000000025
169309.0,31.004479999999997,33.46291000000002,34.78660000000002,38.35265000000004,31.783130000000032,33.44321000000002,38.53834000000001
173091.0,30.353279999999987,32.263310000000054,33.30833999999999,35.83082999999999,31.183920000000054,32.39546000000001,35.71450000000005
176437.0,28.923260000000035,30.425320000000053,31.026079999999983,32.024260000000034,29.633000000000038,30.392810000000054,31.892410000000037
180073.0,24.46586000000002,26.264660000000053,26.432840000000002,26.529350000000022,25.16410000000002,26.19094000000001,26.057760000000034
181818.0,22.405010000000004,24.97125,25.024840000000037,25.446000000000023,23.95132000000007,24.75812000000002,24.506500000000013
183564.0,21.08071000000001,23.913800000000037,23.955410000000033,24.013629999999978,22.52719000000002,23.64684,23.28712999999999
187055.0,19.65292000000005,22.47107000000005,22.479390000000024,22.673270000000056,21.720090000000027,22.017170000000018,22.007960000000026
190837.0,18.302840000000003,21.125629999999997,21.09206000000006,21.392679999999984,19.813879999999983,20.782070000000036,20.48311000000001
194473.0,17.585520000000027,20.46977000000004,20.405190000000005,20.606950000000037,19.08134000000001,20.091360000000012,19.725030000000004
198109.0,16.681879999999982,19.60915,19.544790000000035,19.786020000000068,18.724790000000038,19.131920000000036,18.91937999999999
